"","snps","gene","statistic","pvalue","FDR","beta"
"1294","chr2_10333443","AT2G24280",1.56525184540912,0.118074980273324,0.399180635309899,116.112939625063
"1295","chr1_23132418","AT1G62500",-1.56482444542908,0.118175193251323,0.399180635309899,-36.5664612322987
"1296","chr2_16110791","AT2G38480",-1.56456572682533,0.11823588780021,0.399180635309899,-6.95622850171815
"1297","chr1_12458705","AT1G34210",1.56435271926259,0.118285877084062,0.399180635309899,55.4633194079873
"1298","chr5_1713309","AT5G05700",-1.56348949094053,0.1184886323897,0.39950104436226,-12.7958617465625
"1299","chr4_8195905","AT4G14220",-1.56288778661466,0.118630122407159,0.39950104436226,-48.2787143634383
"1300","chr1_1120990","AT1G04220",1.56220265589262,0.118791391719679,0.39950104436226,54.1789437610399
"1301","chr2_16797007","AT2G40220",-1.56213077027189,0.118808322481174,0.39950104436226,-1.35127070788092
"1302","chr1_6549986","AT1G18950",1.56200824167225,0.118837185231817,0.39950104436226,12.5591934184592
"1303","chr1_4200986","AT1G12360",-1.56139340709908,0.118982098448334,0.3996812317025,-103.100918254775
"1304","chr2_8706822","AT2G20180",1.56098806467998,0.119077711417954,0.399695661715017,92.4839880581394
"1305","chr4_17556049","AT4G37310",-1.56048535926026,0.1191963744239,0.399787379964298,-141.878457878249
"1306","chr5_7372467","AT5G22270",-1.55865138983982,0.119630068614288,0.400934770539617,-37.0864096988757
"1307","chr5_15060068","AT5G37830",1.55772363594647,0.119849933956411,0.401364315935127,37.1728716654199
"1308","chr1_23036720","AT1G62310",-1.55569696943697,0.120331330608804,0.402188162727194,-23.173877164849
"1309","chr5_4538881","AT5G14060",1.55545673337311,0.120388494659989,0.402188162727194,187.566909253434
"1310","chr2_1185535","AT2G03890",1.55441094178732,0.120637588629273,0.402188162727194,57.4907125465427
"1311","chr4_15799519","AT4G32760",1.55431024000233,0.120661595817693,0.402188162727194,45.0314321437567
"1312","chr5_24445645","AT5G60770",1.55402853400695,0.12072877411179,0.402188162727194,0.222662454552151
"1313","chr5_8174759","AT5G24150",1.55381271582345,0.120780260021894,0.402188162727194,144.221045364239
"1314","chr3_21430112","AT3G57870",1.55378194183639,0.120787602913661,0.402188162727194,79.8380706037882
"1315","chr2_18584547","AT2G45060",1.55327660834839,0.120908229175932,0.402188162727194,16.1203320010454
"1316","chr5_5265708","AT5G16120",-1.55321509059376,0.12092292029906,0.402188162727194,-39.0161276884254
"1317","chr1_28622534","AT1G76280",-1.55209470114771,0.121190726821154,0.402605256005224,-10.7585712200442
"1318","chr3_21372297","AT3G57670",-1.55192099812572,0.121232288648592,0.402605256005224,-10.2834739252039
"1319","chr5_26427612","AT5G66100",-1.55125658356202,0.121391365924038,0.402698790732234,-8.06231416704067
"1320","chr4_11184139","AT4G20900",1.5510349764413,0.121444460536109,0.402698790732234,0.142823857619445
"1321","chr5_26237062","AT5G65640",-1.55037494942953,0.121602703588778,0.402918269196127,-12.2416557076714
"1322","chr3_5956059","AT3G17410",-1.5499182034048,0.12171230415107,0.402976365559178,-42.3234125383453
"1323","chr5_5151691","AT5G15800",-1.54755269236449,0.122281170680337,0.404278122652815,-13.3965151282327
"1324","chr1_25042826","AT1G67070",1.54751518795156,0.12229020662379,0.404278122652815,23.5175102891449
"1325","chr2_8221770","AT2G18960",-1.54585104334445,0.122691676118839,0.405093798208368,-346.351655467405
"1326","chr1_20807863","AT1G55680",1.54572534766406,0.122722041677929,0.405093798208368,181.442582544257
"1327","chr5_8884605","AT5G25510",-1.54479370747357,0.122947290827047,0.405410752351701,-24.5762422601115
"1328","chr1_25984938","AT1G69120",-1.54371516158498,0.123208462609506,0.405410752351701,-3.95646510872034
"1329","chr1_11625774","AT1G32240",1.54335028707409,0.123296915875615,0.405410752351701,6.89444375237961
"1330","chr4_7656148","AT4G13170",-1.54324513727896,0.123322415625805,0.405410752351701,-101.077488749273
"1331","chr5_20406350","AT5G50150",1.54279644237424,0.123431274485847,0.405410752351701,14.7857360809392
"1332","chr1_25762488","AT1G68600",-1.54269378859031,0.123456190116229,0.405410752351701,-95.9129449614176
"1333","chr1_30109369","AT1G80040",1.54227740148409,0.123557293954474,0.405410752351701,19.2170359422098
"1334","chr5_1373633","AT5G04760",-1.5422701888555,0.123559045838969,0.405410752351701,-15.3024238311686
"1335","chr4_1123973","AT4G02560",-1.54152901250871,0.123739174769852,0.405697653908346,-9.22906984508347
"1336","chr5_26487221","AT5G66310",-1.53980764084433,0.124158314512249,0.406241197230731,-15.6661287809642
"1337","chr1_18373541","AT1G49630",1.53920167197103,0.124306126927647,0.406241197230731,31.6004319693845
"1338","chr3_6934880","AT3G19930",-1.53901040066334,0.124352811809644,0.406241197230731,-157.041791939158
"1339","chr1_28252498","AT1G75280",-1.53835445856902,0.124513016190768,0.406241197230731,-129.79090888638
"1340","chr3_3852496","AT3G12090",-1.53800699675371,0.124597944088034,0.406241197230731,-21.1925759874691
"1341","chr5_9160269","AT5G26210",1.5379306620767,0.124616608158461,0.406241197230731,25.2497024973824
"1342","chr1_2774052","AT1G08720",-1.53780702235938,0.124646843099091,0.406241197230731,-19.5766480626582
"1343","chr1_11221478","AT1G31350",-1.53780450415149,0.124647458962959,0.406241197230731,-89.8047747114549
"1344","chr3_19207652","AT3G51780",-1.53606589728432,0.125073228401912,0.407043480190361,-11.2353735811538
"1345","chr1_5987682","AT1G17440",-1.53603984760335,0.125079616371038,0.407043480190361,-39.3598272903447
"1346","chr5_115496","AT5G01280",1.53151154956915,0.126193937351875,0.410092342434515,0.768321369162592
"1347","chr2_15856095","AT2G37840",-1.53147128386343,0.126203880571006,0.410092342434515,-17.0916855345059
"1348","chr5_20949461","AT5G51570",1.53027543952054,0.126499461507964,0.410576994407833,35.3026517258772
"1349","chr3_22900410","AT3G61860",-1.53010902972666,0.126540636384777,0.410576994407833,-25.9825766164949
"1350","chr2_9799263","AT2G23010",1.52962567851231,0.126660291596713,0.41066081208801,41.573997898709
"1351","chr1_7265103","AT1G20880",-1.52879047464659,0.126867257228542,0.411027375935847,-12.8087788787823
"1352","chr1_24647091","AT1G66180",1.52823635390932,0.127004715317077,0.411168371999146,736.695202189184
"1353","chr1_604884","AT1G02770",-1.52773060890959,0.127130274476626,0.411270666211524,-16.2891855640988
"1354","chr4_15324546","AT4G31620",1.52696888314801,0.127319567643552,0.411485283095582,8.43911622674766
"1355","chr4_9033363","AT4G15920",1.52670724239458,0.127384637558719,0.411485283095582,85.248733314937
"1356","chr5_9491091","AT5G26990",1.52599380011956,0.127562202077872,0.411754984140742,17.1299769176632
"1357","chr1_25164985","AT1G67250",-1.52507386648579,0.127791443890353,0.411966916752873,-17.4189141088948
"1358","chr5_8785258","AT5G25310",1.52497499668582,0.127816100742609,0.411966916752873,0.646529978031037
"1359","chr4_11340460","AT4G21320",-1.5241148760899,0.128030760253974,0.412355141745138,-6.64976069316437
"1360","chr4_12336368","AT4G23680",1.52267972471219,0.128389555231849,0.413206678860148,197.150092824532
"1361","chr1_5129320","AT1G14870",-1.52117943059308,0.128765473486912,0.413853317118223,-228.486539364604
"1362","chr3_22179283","AT3G60040",1.52075503726047,0.128871966211023,0.413853317118223,4.50950155365211
"1363","chr3_2492478","AT3G07810",-1.52056499061837,0.128919676718064,0.413853317118223,-20.8508370495768
"1364","chr3_3170591","AT3G10250",1.52036984036529,0.128968682784843,0.413853317118223,16.3517696677572
"1365","chr1_29830857","AT1G79280",1.51946688324589,0.129195621995808,0.414277829652493,365.853902978878
"1366","chr5_2666021","AT5G08290",1.51870351849619,0.129387720097609,0.414590081161957,38.1308717748144
"1367","chr3_16597272","AT3G45260",-1.5179497517453,0.129577621047823,0.414894840765413,-50.851241710666
"1368","chr3_6601927","AT3G19090",1.51639256216798,0.129970620191284,0.415573171933677,1.05768541549188
"1369","chr3_20329629","AT3G54860",-1.51635796155473,0.12997936312022,0.415573171933677,-14.3139179464537
"1370","chr4_12264592","AT4G23500",-1.51473010849561,0.130391208728268,0.41596944602376,-34.390078010812
"1371","chr5_2651908","AT5G08240",-1.51461696826867,0.130419870809643,0.41596944602376,-79.8037293039504
"1372","chr2_18756064","AT2G45520",-1.51440322570699,0.130474032094303,0.41596944602376,-11.2438518298786
"1373","chr1_24044954","AT1G64710",1.5138923110726,0.130603566175954,0.41596944602376,161.537003904042
"1374","chr3_481472","AT3G02350",1.51378448148725,0.130630917389425,0.41596944602376,87.356550337759
"1375","chr3_5040117","AT3G14980",-1.51361656756169,0.130673517999239,0.41596944602376,-10.3621676699929
"1376","chr2_10850042","AT2G25490",-1.51297227330355,0.130837078980343,0.41618742347163,-247.487305442145
"1377","chr3_1244006","AT3G04600",1.51200529674118,0.131082855028586,0.416666417182367,24.307768185746
"1378","chr1_13192972","AT1G35660",1.51099053447963,0.131341162591412,0.417184520074465,15.0283468088111
"1379","chr5_16844371","AT5G42146",-1.51057301163005,0.13144755777913,0.417219695720995,-3.87638568166283
"1380","chr3_17087620","AT3G46430",-1.50986701562531,0.131627615473198,0.417308218693126,-34.9398260345879
"1381","chr1_4348683","AT1G12760",-1.50948022113275,0.131726345038171,0.417308218693126,-162.027026961936
"1382","chr3_8260673","AT3G23160",1.50919604581553,0.131798917647698,0.417308218693126,3.9215090754058
"1383","chr5_9028125","AT5G25880",1.50896943358121,0.131856812075073,0.417308218693126,4.14994194514886
"1384","chr3_1410683","AT3G05050",-1.50788167200167,0.132134986254123,0.417886441354259,-13.148610352097
"1385","chr2_12176675","AT2G28480",-1.5068222035938,0.132406363000525,0.418442347186496,-3.70782474680883
"1386","chr5_262864","AT5G01700",1.50501866992704,0.132869323058532,0.419328621674659,2.13623305960509
"1387","chr5_9804359","AT5G27690",-1.50479176966034,0.132927656350454,0.419328621674659,-7.0268021285774
"1388","chr5_17839200","AT5G44280",1.50461073574151,0.132974212219426,0.419328621674659,12.0139382660303
"1389","chr3_15760378","AT3G43920",1.50259618317989,0.133493142169053,0.42066197499924,21.09484409324
"1390","chr2_11112097","AT2G26080",-1.50202970991765,0.13363934304531,0.420819715474333,-1264.75604158889
"1391","chr2_14961076","AT2G35620",1.50064399416937,0.133997505455527,0.421160321591982,37.9925052357111
"1392","chr1_3290952","AT1G10090",-1.50058574708151,0.134012576718107,0.421160321591982,-71.8711681299205
"1393","chr1_1837561","AT1G06070",-1.50049456398372,0.134036172715931,0.421160321591982,-10.2120025840076
"1394","chr4_17844321","AT4G37950",-1.49955396612624,0.134279764937429,0.421623049591912,-0.287029091715113
"1395","chr1_19409814","AT1G52150",-1.49804404549457,0.134671515587066,0.422549981164578,-26.9601534924609
"1396","chr1_8106694","AT1G22910",-1.49725539425411,0.134876483911342,0.422889949914001,-22.3361886025174
"1397","chr5_1000349","AT5G03780",-1.49661927194814,0.135041986435682,0.423105779977794,-3.15650739598062
"1398","chr3_2388432","AT3G07470",1.49489769852751,0.135490684336332,0.424143412525151,79.6049016332951
"1399","chr1_15927392","AT1G42470",-1.49460543784049,0.135566971469656,0.424143412525151,-62.3506979929102
"1400","chr1_7044248","AT1G20350",-1.49290843115315,0.136010588891676,0.42509945526049,-4.04623499591881
"1401","chr1_17898547","AT1G48420",1.492693748959,0.136066789312302,0.42509945526049,30.8420969796117
"1402","chr5_22525552","AT5G55600",-1.49162693586494,0.136346330840552,0.425668965826743,-21.5619585223707
"1403","chr5_8416774","AT5G24590",-1.49051370821756,0.136638508225587,0.426277085177044,-74.6106304353638
"1404","chr3_23367400","AT3G63240",1.48984296619129,0.136814784691449,0.426523014668427,30.3877521830307
"1405","chr2_7648352","AT2G17580",1.48712752435358,0.137530223121979,0.42844824669388,6.83115658932702
"1406","chr3_18489395","AT3G49850",1.48604776153859,0.137815510998252,0.428981737022766,4.9149067703021
"1407","chr2_3393734","AT2G07709",1.4851153147326,0.138062243853567,0.428981737022766,3.27567294832565
"1408","chr3_1807353","AT3G06010",-1.4845231895655,0.138219102002041,0.428981737022766,-37.1786380893011
"1409","chr5_8448079","AT5G24670",-1.48448652349951,0.13822881962769,0.428981737022766,-91.5171217581288
"1410","chr5_26310536","AT5G65760",-1.4839761707697,0.138364133476498,0.428981737022766,-49.3922726566983
"1411","chr1_23601098","AT1G63650",-1.48391889399221,0.138379326105092,0.428981737022766,-10.2867361846528
"1412","chr4_2482256","AT4G04890",-1.48388797230448,0.138387528598617,0.428981737022766,-59.7576188487529
"1413","chr4_17430805","AT4G36970",1.48310078238203,0.138596470371709,0.429325372128075,19.6750837451525
"1414","chr1_20210910","AT1G54130",1.4815242253074,0.139015664364897,0.430319351432216,67.4165243647329
"1415","chr3_8938815","AT3G24518",1.48110545024694,0.139127177704459,0.430360181492873,4.85665972169554
"1416","chr1_29064461","AT1G77330",1.48005880637555,0.139406184798597,0.430918694112614,15.3693601940143
"1417","chr2_13166250","AT2G30933",-1.47901283570705,0.139685443667313,0.431245576281985,-4.01209942902372
"1418","chr1_1243267","AT1G04555",-1.47892473501435,0.139708984959528,0.431245576281985,-9.64337287592667
"1419","chr3_7812998","AT3G22150",-1.47630450046171,0.140410535392914,0.433105647226768,-15.054946465147
"1420","chr1_18411125","AT1G49750",-1.47572581793101,0.140565839416035,0.433279351495765,-328.118910208434
"1421","chr2_14518530","AT2G34410",-1.47445843857096,0.140906435212623,0.433847694421088,-9.8577885528178
"1422","chr3_8624682","AT3G23890",-1.47430221506179,0.140948462752293,0.433847694421088,-24.362250300327
"1423","chr4_10096298","AT4G18260",-1.47294996595275,0.141312651197705,0.434663017773965,-5.98623253574284
"1424","chr2_79034","AT2G01080",-1.47229989782106,0.141487985752895,0.43489670901715,-24.1466096305347
"1425","chr1_21424874","AT1G57840",-1.46919636872854,0.14232737185524,0.437169759024833,-1.30902416052094
"1426","chr1_27685353","AT1G73630",-1.46649964330482,0.143059841286517,0.439111448324744,-12.9164987997289
"1427","chr3_10225533","AT3G27610",-1.46430996786362,0.143656719259831,0.440634520112319,-28.3094952841006
"1428","chr3_23289437","AT3G63010",-1.46391180075805,0.143765460068982,0.440659256808077,-86.8149154589857
"1429","chr5_9543351","AT5G27120",1.46349103343975,0.143880441839487,0.440703074829556,48.5291497981294
"1430","chr3_520378","AT3G02500",1.46274752575107,0.144083790683712,0.441017308966857,16.2112836594618
"1431","chr2_18490220","AT2G44830",1.46208140177568,0.144266162688013,0.441266942058303,14.9595857107333
"1432","chr5_3550561","AT5G11160",-1.46152992743835,0.144417280002183,0.441420694531811,-5.43619982352415
"1433","chr3_7004400","AT3G20060",-1.46029404984907,0.144756382089778,0.441926612268162,-54.0870779282368
"1434","chr1_27077213","AT1G71930",-1.46019083600789,0.144784729721852,0.441926612268162,-3.03356353430948
"1435","chr5_5976377","AT5G18060",1.45872138489555,0.145188776447708,0.442851062377434,56.7120941302952
"1436","chr1_19857323","AT1G53250",-1.45792110345832,0.145409189237146,0.443214499506259,-25.811009342106
"1437","chr1_1682327","AT1G05630",-1.45513191081627,0.146179394474803,0.445205964124175,-42.5222281725546
"1438","chr4_9495680","AT4G16860",1.45481907380659,0.1462659758763,0.445205964124175,359.103047033045
"1439","chr3_1340550","AT3G04860",1.45424840699846,0.146424016108073,0.445377288745682,4.33526103118531
"1440","chr4_12616111","AT4G24390",1.45263896069282,0.146870441180576,0.446424945171792,7.20057439025436
"1441","chr1_3299755","AT1G10095",-1.45222342734186,0.146985870351088,0.446459017199909,-3.75556885594958
"1442","chr1_25137502","AT1G67195",-1.45182593290823,0.147096353649697,0.446459017199909,-51.1381713017512
"1443","chr4_6476306","AT4G10470",-1.45149762694613,0.147187654059737,0.446459017199909,-8.24580290041545
"1444","chr2_2360570","AT2G06050",1.45095314744318,0.147339167113261,0.446609095882787,1511.6001539113
"1445","chr1_29097924","AT1G77440",-1.44952412520967,0.147737391673717,0.447100475496562,-9.69342860322366
"1446","chr4_17981338","AT4G38410",1.44952138931237,0.147738154874337,0.447100475496562,2.34230772418961
"1447","chr5_3017296","AT5G09730",1.44927206189045,0.147807719452485,0.447100475496562,6.94530097923498
"1448","chr5_16779924","AT5G41920",1.44854432517397,0.148010908025635,0.447405900848207,13.9066120472771
"1449","chr1_8674473","AT1G24470",1.44738157216075,0.148335999780145,0.447527167348801,12.8759001601745
"1450","chr1_10663559","AT1G30280",1.44720413314089,0.148385657648221,0.447527167348801,10.0251383020189
"1451","chr3_865943","AT3G03590",-1.44712770127593,0.148407051699232,0.447527167348801,-8.19487047105753
"1452","chr4_11499565","AT4G21640",1.44693855371899,0.148460006166429,0.447527167348801,11.888396930077
"1453","chr1_19969540","AT1G53500",1.44589817260122,0.148751533899324,0.448097359860523,37.1656666276989
"1454","chr1_22288642","AT1G60490",-1.44355669700798,0.149409247314004,0.449769102815264,-28.5070942078618
"1455","chr2_17137870","AT2G41100",-1.43821619132356,0.15091770159473,0.453849983595664,-2214.17041346598
"1456","chr5_8122031","AT5G24030",-1.4375910396771,0.1510950371264,0.453849983595664,-355.716583028995
"1457","chr3_9763290","AT3G26590",-1.43743347304147,0.151139758851174,0.453849983595664,-75.1790708991379
"1458","chr3_21309317","AT3G57550",1.43729299769077,0.151179638127137,0.453849983595664,56.3995032292919
"1459","chr4_16037421","AT4G33240",-1.43633305988277,0.151452368190811,0.454357104572433,-27.7245196176125
"1460","chr1_8726908","AT1G24625",-1.435964931346,0.151557057632184,0.454359754284979,-14.2760806637076
"1461","chr4_11605059","AT4G21880",-1.43517795741682,0.151781044853228,0.45471980378,-9.57922858045121
"1462","chr2_12679015","AT2G29660",1.43433955788623,0.152019946711241,0.454750759314004,16.8315282009843
"1463","chr2_523886","AT2G02090",1.43406677211881,0.152097738845677,0.454750759314004,10.3403980582356
"1464","chr5_7861747","AT5G23360",1.43404810242991,0.152103064115993,0.454750759314004,5.04624128063953
"1465","chr4_7240069","AT4G12080",1.43334139414458,0.152304747542211,0.455033654259079,13.8411132296707
"1466","chr5_5606278","AT5G17040",1.43298824944014,0.152405605927304,0.455033654259079,16.6747301786067
"1467","chr2_8636921","AT2G20000",1.43253635220797,0.152534742434835,0.455108771395551,10.1114950559089
"1468","chr2_13871923","AT2G32700",1.43024313593542,0.153191351026036,0.45675650098158,67.6295460715406
"1469","chr4_15090687","AT4G30990",1.42725074256917,0.154051391102848,0.45900812720025,55.5866758635475
"1470","chr2_11518334","AT2G26980",1.42589696269924,0.154441685990967,0.459857999715961,365.170154394987
"1471","chr4_13557840","AT4G27000",1.42398183295904,0.154995103993783,0.461192093936633,47.620851927623
"1472","chr3_7482167","AT3G21290",-1.42252499267783,0.155417099548877,0.462133590166736,-9.29208514488738
"1473","chr4_15476620","AT4G32000",1.4215927703386,0.155687590131457,0.462623613038281,7.51118230555013
"1474","chr4_17369499","AT4G36870",1.42095393326571,0.155873159756089,0.462679135396965,27.2321894699554
"1475","chr3_649849","AT3G02910",-1.42080072419575,0.155917688990296,0.462679135396965,-29.7966051642304
"1476","chr4_10116789","AT4G18290",-1.41953237625,0.156286697950077,0.463459943717809,-16.1154127709699
"1477","chr5_13652","AT5G01040",-1.41879717951949,0.156500897525459,0.463780926519252,-151.43423253533
"1478","chr2_13034349","AT2G30590",-1.41467442550859,0.157706199644017,0.467036560109514,-19.7248408447721
"1479","chr1_15956332","AT1G42510",1.41357798786925,0.158027931085403,0.467672923840981,2.11668835220678
"1480","chr1_3291214","AT1G10090",1.41302210407164,0.158191236252011,0.467839892618278,47.3786524410763
"1481","chr1_62347","AT1G01130",1.41237241004614,0.158382262941904,0.468088565088935,2.54351635571645
"1482","chr4_9993529","AT4G18010",-1.41160618224946,0.158607778535557,0.468438762921818,-288.975698792389
"1483","chr5_24836588","AT5G61820",1.41001490190111,0.159076901504401,0.469507483401729,131.738895747303
"1484","chr3_6087196","AT3G17780",1.40814101519476,0.159630688100791,0.470555962499776,12.4237582306654
"1485","chr3_3019395","AT3G09840",1.40784498193858,0.159718307870586,0.470555962499776,149.09275582742
"1486","chr4_7124808","AT4G11840",-1.40772218793798,0.159754663073947,0.470555962499776,-42.4848975485484
"1487","chr4_5781579","AT4G09012",-1.40625677278651,0.160189007938714,0.471454044088523,-2.7210631917336
"1488","chr5_9159844","AT5G26210",1.40592751056649,0.160286723355865,0.471454044088523,36.4248699735518
"1489","chr1_25881972","AT1G68840",1.40560426019065,0.160382698571581,0.471454044088523,583.626583301813
"1490","chr2_19026929","AT2G46340",-1.40449910282091,0.160711156225562,0.472102503892137,-67.1406794758194
"1491","chr4_9787468","AT4G17570",1.40318953190146,0.161101025917348,0.472768172972856,22.1063142634177
"1492","chr4_10816627","AT4G19960",1.40203574622897,0.161445110272597,0.472768172972856,30.0105918529995
"1493","chr4_16083228","AT4G33410",1.4017288186107,0.161536736491499,0.472768172972856,16.7106869165552
"1494","chr5_9650352","AT5G27350",-1.40171986172526,0.161539410955809,0.472768172972856,-386.004451801692
"1495","chr1_4291","AT1G01010",1.40128798046326,0.161668407507174,0.472768172972856,18.3492532624955
"1496","chr1_3031876","AT1G09390",1.40119207554971,0.161697063465174,0.472768172972856,36.0571202029594
"1497","chr5_17914752","AT5G44450",-1.40077224441979,0.161822552379913,0.472768172972856,-9.21441677241807
"1498","chr5_15004737","AT5G37780",-1.40056442423487,0.161884697789336,0.472768172972856,-101.682825472012
"1499","chr2_17909810","AT2G43060",-1.40048027055155,0.161909867783027,0.472768172972856,-29.197475947546
"1500","chr2_15928227","AT2G38070",-1.39893285847174,0.162373219974256,0.473635852510301,-18.0114443465311
"1501","chr1_28607387","AT1G76250",1.39876533079664,0.162423444052539,0.473635852510301,2.31783953638354
"1502","chr1_10817051","AT1G30540",1.39832347386601,0.162555967237525,0.47370670346115,8.68722169027207
"1503","chr4_12789033","AT4G24810",-1.39692918752325,0.162974682420097,0.47385775196714,-24.7482006888358
"1504","chr5_2181262","AT5G07020",1.39688866742466,0.162986863107945,0.47385775196714,159.334640263876
"1505","chr1_5199100","AT1G15110",1.39679389724879,0.163015354520194,0.47385775196714,18.7334330022441
"1506","chr2_19033821","AT2G46370",-1.39670912272027,0.163040844062717,0.47385775196714,-162.746703890919
"1507","chr1_6163667","AT1G17920",-1.39602127947905,0.16324777244221,0.474026323850173,-4.46327226690562
"1508","chr1_24892362","AT1G66740",-1.39579647942746,0.163315443538054,0.474026323850173,-56.3862882999247
"1509","chr3_8829586","AT3G24320",-1.39525030055409,0.163479946978338,0.474189349187664,-4.59721674150562
"1510","chr1_15973054","AT1G42540",-1.39359703733931,0.163978656064668,0.475320912314604,-111.195890693948
"1511","chr3_3667315","AT3G11600",1.39260972711196,0.164277027161319,0.475870647177429,7.61036383750573
"1512","chr3_18487325","AT3G49845",1.39214223986533,0.164418447582147,0.475965307584031,1.67932182131857
"1513","chr4_14974010","AT4G30720",1.39065950005837,0.164867602154387,0.47670208597428,56.2797375774896
"1514","chr1_1748365","AT1G05810",1.39058305799342,0.16489078322254,0.47670208597428,7.18764192592856
"1515","chr2_19395147","AT2G47240",1.39015415846918,0.165020892701501,0.47676333158711,155.171334250778
"1516","chr1_26061902","AT1G69320",1.38775596567949,0.165749828513861,0.47847448181122,0.510605295724889
"1517","chr2_16557300","AT2G39705",1.38748677794914,0.165831800070281,0.47847448181122,11.5864711793826
"1518","chr4_8271083","AT4G14360",1.38696103124718,0.165991985713766,0.47862116038811,37.1131579210967
"1519","chr4_16997129","AT4G35890",-1.38614616274115,0.166240492162829,0.478787080258944,-47.6044897003589
"1520","chr2_8475029","AT2G19580",1.38605502656742,0.166268302945761,0.478787080258944,2.74798881314043
"1521","chr4_6968511","AT4G11470",1.38421196079798,0.166831479222863,0.480092955002281,8.31663065532418
"1522","chr5_14064062","AT5G35926",-1.38189992503965,0.167539987515577,0.481815062651565,-6.76547468247457
"1523","chr5_26506467","AT5G66350",-1.37892296947574,0.168455590505508,0.483823483487398,-3.23776055860223
"1524","chr1_24757850","AT1G66380",1.37881410953456,0.168489143077273,0.483823483487398,0.888591928579252
"1525","chr3_16855896","AT3G45850",-1.37855189713251,0.168569982252292,0.483823483487398,-32.6056336478584
"1526","chr1_25434995","AT1G67840",-1.37806642041272,0.1687197300749,0.483935949238426,-38.9999062587461
"1527","chr3_5270129","AT3G15570",-1.3757480465934,0.169436224971992,0.485157999049303,-32.152660044557
"1528","chr1_28296984","AT1G75400",1.37572775928553,0.169442504858981,0.485157999049303,17.4540212357896
"1529","chr3_851111","AT3G03550",1.37561208777437,0.16947831403847,0.485157999049303,10.4951947347445
"1530","chr4_17899375","AT4G38130",1.37510531634198,0.169635265628031,0.485289906963327,27.5581973564834
"1531","chr3_19723385","AT3G53230",-1.37433616735187,0.169873686600968,0.485654556663904,-32.866927420136
"1532","chr5_3349301","AT5G10580",1.37317383098833,0.170234465648639,0.486368313409982,15.0383784339197
"1533","chr3_20361087","AT3G54950",1.37201976437188,0.170593247120368,0.487075435515885,13.3111966067984
"1534","chr2_11141097","AT2G26170",1.37111579540564,0.170874673549895,0.487430742581416,34.7285444574044
"1535","chr5_18403465","AT5G45410",-1.37090479344883,0.170940413493825,0.487430742581416,-208.010245654588
"1536","chr3_7791941","AT3G22104",1.36946188099662,0.171390477570233,0.487558235317617,10.8755129004296
"1537","chr2_18910430","AT2G45960",-1.36941273608576,0.171405822186229,0.487558235317617,-858.399000050312
"1538","chr1_10260791","AT1G29330",1.36938374738467,0.171414873871143,0.487558235317617,12.5482491319638
"1539","chr3_19407027","AT3G52340",-1.36930671411599,0.171438929154464,0.487558235317617,-28.4336216543999
"1540","chr5_4426275","AT5G13710",1.3689764829711,0.171542079595415,0.487558235317617,204.683101666002
"1541","chr5_6040931","AT5G18270",1.36494270984085,0.172805823948009,0.49074142078671,9.18816653083407
"1542","chr5_26657258","AT5G66760",-1.36444464095026,0.172962347242957,0.49074142078671,-59.3666978647624
"1543","chr3_19376017","AT3G52250",1.36432995500107,0.172998403535274,0.49074142078671,43.5595010932471
"1544","chr5_26601489","AT5G66640",-1.36375043984554,0.173180684364338,0.490940320895537,-36.0795206414459
"1545","chr1_18625137","AT1G50280",1.3627056581671,0.173509673842607,0.491414154326016,19.4526098602319
"1546","chr3_19393882","AT3G52290",-1.36175648081148,0.173808964380256,0.491414154326016,-8.57348169756482
"1547","chr1_25549316","AT1G68160",-1.36118863833052,0.173988198810252,0.491414154326016,-14.4003474788519
"1548","chr1_24305638","AT1G65430",1.36101152153257,0.174044132464122,0.491414154326016,9.82065320628561
"1549","chr2_4890411","AT2G12170",-1.36094677893132,0.174064581599848,0.491414154326016,-2.50125194640594
"1550","chr2_10726797","AT2G25180",1.36039294585191,0.174239584895564,0.491414154326016,21.131555570671
"1551","chr3_8668754","AT3G23990",1.36021908201408,0.17429455053143,0.491414154326016,60.281447963898
"1552","chr5_9096623","AT5G26030",1.36011644603543,0.174327004153292,0.491414154326016,132.222509398039
"1553","chr1_12214142","AT1G33700",1.35922465930316,0.174609178667009,0.491414154326016,15.4027488873934
"1554","chr1_5929947","AT1G17330",1.35921051456678,0.174613657023487,0.491414154326016,13.1247714399767
"1555","chr3_7036980","AT3G20150",-1.35904788469641,0.174665153345972,0.491414154326016,-23.2106149919703
"1556","chr3_8891042","AT3G24460",-1.35895334766603,0.174695093472991,0.491414154326016,-103.552948704375
"1557","chr2_7795145","AT2G17930",1.35779498828662,0.175062260884618,0.492130710271018,96.1644864061276
"1558","chr2_16502783","AT2G39550",1.35735575522775,0.175201636314154,0.492206394189379,5.71542617567395
"1559","chr2_8955931","AT2G20800",-1.3557507782205,0.175711626200331,0.493322506657376,-1.22951939002502
"1560","chr2_9362360","AT2G22000",-1.35460777685617,0.176075497135367,0.494027212154809,-2.5985555533142
"1561","chr1_28123315","AT1G74860",1.35425138887524,0.176189067263992,0.494029178356497,21.0941421107209
"1562","chr1_27365727","AT1G72700",1.35310729462234,0.176554025725675,0.494301354216275,43.9232365001524
"1563","chr3_22261914","AT3G60240",-1.35295358388717,0.176603101443224,0.494301354216275,-50.4434948718134
